index,update_date,open,return_rate,volume,high,low,invest_signal,min5,max5,out,record,
2014/10/13,2014/10/13,16753.59,0.004596195,511800,16871.9,16657.31,0.5,16327.87,16981.18,1,1,0.00706177
2014/10/16,2014/10/16,16393.37,0.023724218,928900,16606.92,16231.78,0.5,16615.9,16981.18,1,1,0.013026608
2014/10/17,2014/10/17,16239.41,0.009435981,743100,16272.95,16055.72,1,16231.78,16981.18,1,2,0.002065346
2014/10/20,2014/10/20,16370.34,-0.008030157,517800,16394.19,16255.74,1,16055.72,16871.9,1,2,0.001456903
2014/10/21,2014/10/21,16194.67,0.010788985,521700,16275.63,16126.45,1,16055.72,16865.78,1,2,0.004999176
2014/10/22,2014/10/22,16338.42,-0.008837214,519600,16374.28,16211.95,1,16055.72,16865.78,1,2,0.002194827
2014/10/23,2014/10/23,16361.47,-0.001409791,664800,16654.44,16337.81,1,16055.72,16606.92,1,2,0.017906093
2014/10/24,2014/10/24,16628.72,-0.01620214,434300,16666.33,16555.27,1,16055.72,16654.44,1,2,0.00226175
2014/10/27,2014/10/27,16582.8,0.002765307,400900,16651.42,16492.52,1,16126.45,16666.33,1,2,0.004138023
2014/10/28,2014/10/28,16572.47,0.000623129,251700,16613.45,16495.28,1,16126.45,16666.33,1,2,0.002472776
2014/10/29,2014/10/29,16592.6,-0.001213928,322100,16607.25,16468.38,1,16211.95,16666.33,1,2,0.000882924
2014/10/30,2014/10/30,16709.4,-0.007014622,499600,16790.89,16584.89,1,16337.81,16666.33,1,2,0.004876896
2014/10/31,2014/10/31,16685.47,0.001433154,598700,16906.65,16587.15,1,16468.38,16790.89,1,2,0.013255845
2014/11/3,2014/11/3,16817.08,-0.007856756,563500,16900.71,16732.51,1,16468.38,16906.65,1,2,0.00497292
2014/11/4,2014/11/4,16826.3,-0.000548102,504600,17047.04,16800.13,1,16468.38,16906.65,1,2,0.013118749
2014/11/5,2014/11/5,16590.96,0.01408517,747200,16722.98,16370.28,1,16468.38,17047.04,1,2,0.007957345
2014/11/6,2014/11/6,16435.64,0.009405821,478700,16527.29,16336.67,1,16370.28,17047.04,1,2,0.005576296
2014/11/7,2014/11/7,16470.63,-0.002126647,413500,16587.2,16376.29,1,16336.67,17047.04,1,2,0.007077446
2014/11/10,2014/11/10,16675.5,-0.012361782,395900,16793.04,16562.99,1,16336.67,17047.04,1,2,0.007048664
2014/11/11,2014/11/11,16735.18,-0.003572514,290400,16819.23,16671.32,1,16336.67,17047.04,1,2,0.005022354
2014/11/12,2014/11/12,16856.74,-0.007237486,330400,16858.2,16690.2,1,16336.67,16819.23,1,2,8.66122E-05
2014/11/13,2014/11/13,16766.76,0.005352222,307100,16815.99,16716.98,1,16336.67,16858.2,1,2,0.002936167
2014/11/14,2014/11/14,16595.52,0.010265576,389700,16779.97,16559.47,1,16376.29,16858.2,1,2,0.011114445
2014/11/17,2014/11/17,16756.09,-0.009628995,378700,16818.4,16616.96,1,16559.47,16858.2,1,2,0.003718648
2014/11/18,2014/11/18,16732.61,0.001402264,328000,16809.8,16632.01,1,16559.47,16858.2,1,2,0.004613148
2014/11/19,2014/11/19,16683.79,0.002921921,324000,16728.67,16608.62,1,16559.47,16858.2,1,2,0.002690036
2014/11/20,2014/11/20,16708.57,-0.001484172,315100,16760.03,16642.73,1,16559.47,16818.4,1,2,0.003079857
2014/11/21,2014/11/21,16729.78,-0.001268603,408500,16890.23,16623.74,1,16559.47,16818.4,1,2,0.009590682
2014/11/24,2014/11/24,16971.53,-0.014346869,544400,17055.15,16811.56,1,16608.62,16890.23,1,2,0.004927075
2014/11/25,2014/11/25,16874.34,0.005743109,360800,16999.96,16831.14,1,16608.62,17055.15,1,2,0.007444439
2014/11/27,2014/11/27,16846.96,0.0016239,317600,16896.8,16767.1,1,16623.74,17055.15,1,1,0.002958397
2014/11/28,2014/11/28,16734.52,0.006696573,403800,16830.73,16672.58,1,16623.74,17055.15,1,2,0.005749194
2014/12/1,2014/12/1,16321.71,0.024977528,630100,16613.76,16215.18,1,16672.58,17055.15,1,2,0.017893346
2014/12/2,2014/12/2,16558.82,-0.014422767,387500,16636.18,16391.52,1,16215.18,16999.96,1,2,0.00467183
2014/12/3,2014/12/3,16487.85,0.004295144,348200,16562.28,16446.42,1,16215.18,16993.2,1,2,0.004514233
2014/12/4,2014/12/4,16525.16,-0.002260322,362600,16697.17,16435.53,0.5,16215.18,16896.8,1,2,0.010408976
2014/12/30,2014/12/30,16367.2,-0.001155416,212100,16448.8,16323.83,0.5,16280.12,16505.35,1,1,0.004985581
2014/12/31,2014/12/31,16738.1,-0.022408226,410200,16800.03,16413.46,0.5,16282.78,16505.35,1,2,0.003699942
2015/1/15,2015/1/15,15824.09,0.016049642,653400,15950.86,15692.15,0.5,15554.82,16620.9,1,1,0.008011203
2015/1/16,2015/1/16,15826.85,-0.000174402,352700,15977.1,15736.02,1,15554.82,16601.18,1,2,0.009493361
2015/1/19,2015/1/19,15971.32,-0.009086749,372800,16071.7,15825.21,1,15554.82,16522.91,1,2,0.006285016
2015/1/20,2015/1/20,15932.73,0.00241913,239100,16087.19,15913.67,1,15554.82,16396.07,1,2,0.009694509
2015/1/21,2015/1/21,16101.69,-0.010548751,269600,16187,16042.89,1,15554.82,16167.44,1,2,0.005298202
2015/1/22,2015/1/22,16274.24,-0.010659254,422700,16420.25,16092.46,1,15692.15,16187,1,2,0.008971848
2015/1/23,2015/1/23,16302.93,-0.001761357,382300,16436.5,16189.61,1,15736.02,16420.25,1,2,0.008193006
2015/1/26,2015/1/26,16060.46,0.014984496,509300,16155.1,15896.78,1,15825.21,16436.5,1,2,0.005892733
2015/1/27,2015/1/27,16376.95,-0.019514508,419200,16405.67,16121.9,1,15896.78,16436.5,1,2,0.001753684
2015/1/28,2015/1/28,16221.14,0.009559529,335300,16356.03,16215.41,1,15896.78,16436.5,1,2,0.008315692
2015/1/29,2015/1/29,16186.96,0.00210935,341700,16329.63,16089.49,1,15896.78,16436.5,1,2,0.008813885
2015/1/30,2015/1/30,16071.65,0.00714913,252300,16142.83,16019.02,1,15896.78,16436.5,1,2,0.004428917
2015/2/2,2015/2/2,16203.08,-0.008144497,244700,16265.93,16150.3,1,15896.78,16405.67,1,2,0.003878892
2015/2/3,2015/2/3,16247.92,-0.002763553,209400,16326.7,16156.79,1,16019.02,16405.67,1,2,0.004848621
2015/2/4,2015/2/4,16410.17,-0.009936364,245600,16461.96,16293.7,1,16019.02,16356.03,1,2,0.00315597
2015/2/5,2015/2/5,16316.33,0.005734818,174900,16376.61,16239.37,1,16019.02,16461.96,1,2,0.003694458
2015/2/6,2015/2/6,16321.49,-0.000316198,171500,16404.99,16205.1,1,16019.02,16461.96,1,2,0.005115954
2015/2/9,2015/2/9,16378.12,-0.003463653,170700,16437.42,16313.85,1,16150.3,16461.96,1,2,0.003620684
2015/2/10,2015/2/10,16386.79,-0.000529225,112400,16427.7,16328.3,1,16156.79,16461.96,1,2,0.002496523
2015/2/11,2015/2/11,16198.99,0.011526628,169900,16309.81,16166.53,1,16205.1,16461.96,1,2,0.006841167
2015/2/12,2015/2/12,16175.92,0.001425178,125900,16236.16,16118.24,1,16166.53,16437.42,1,2,0.003724054
2015/2/13,2015/2/13,16329.33,-0.009439161,156800,16367.8,16263.7,1,16118.24,16437.42,1,2,0.002355884
2015/2/16,2015/2/16,16384.12,-0.003349696,97600,16413.2,16332.41,1,16118.24,16437.42,1,2,0.001774889
2015/2/17,2015/2/17,16349.46,0.002117704,91400,16441.84,16306.45,1,16118.24,16427.7,1,2,0.00565034
2015/2/25,2015/2/25,16054.82,0.018185753,140300,16131.38,15998.77,1,16118.24,16441.84,1,2,0.004768661
2015/2/26,2015/2/26,15992.02,0.003919268,204000,16086.33,15970.12,1,15998.77,16441.84,1,2,0.005897316
2015/2/27,2015/2/27,16050.48,-0.003648908,253600,16119.9,15994.19,1,15970.12,16441.84,1,2,0.004325104
2015/3/2,2015/3/2,16090.85,-0.002512032,243300,16206.5,16040.3,1,15970.12,16441.84,1,2,0.007187315
2015/3/3,2015/3/3,16060.07,0.00191472,194600,16123.22,15959.92,1,15970.12,16441.84,1,2,0.003932112
2015/3/4,2015/3/4,15875.15,0.011581074,166000,15984.15,15866.87,1,15959.92,16206.5,1,2,0.006866077
2015/3/5,2015/3/5,15854.24,0.001318021,145300,15942.19,15787.39,1,15866.87,16206.5,1,2,0.005547412
2015/3/6,2015/3/6,15798.77,0.003504884,158100,15886.86,15700.74,1,15787.39,16206.5,1,2,0.005575751
2015/3/9,2015/3/9,15728.02,0.004488254,197400,15842.9,15710.4,1,15700.74,16206.5,1,2,0.007304162
2015/3/10,2015/3/10,15816.66,-0.00561998,148100,15822.17,15712.38,0.5,15700.74,16123.22,1,2,0.000348367
2015/4/21,2015/4/21,16433.94,0.017323883,172500,16531.27,16365.5,0.5,16267.94,16754.41,1,1,0.005922499
2015/4/22,2015/4/22,16542.59,-0.006589559,143500,16611.32,16438.69,1,16310.32,16754.41,1,2,0.00415473
2015/4/23,2015/4/23,16624.13,-0.004916987,184700,16667.92,16451.6,1,16365.5,16754.41,1,2,0.002634123
2015/4/24,2015/4/24,16577.01,0.002838459,133500,16600.89,16501.59,1,16365.5,16754.41,1,2,0.001440549
2015/4/27,2015/4/27,16700.68,-0.007432641,309200,16888.94,16658.29,0.5,16365.5,16726.51,1,2,0.011272595
2015/7/21,2015/7/21,15547.92,0.006602195,120800,15600.08,15465.02,0.5,15396.04,15800.06,1,1,0.00335479
2015/7/22,2015/7/22,15504.14,0.002819783,185600,15574.22,15156.86,1,15396.04,15800.06,1,2,0.004520083
2015/7/23,2015/7/23,15123.43,0.024861888,177500,15254.57,15080.52,1,15156.86,15800.06,1,2,0.008671313
2015/7/24,2015/7/24,15029.74,0.006214292,212400,15246.56,14937.36,1,15080.52,15715.54,1,2,0.014426065
2015/7/27,2015/7/27,14895.72,0.008956982,209800,14992.72,14717.03,1,14937.36,15680.72,1,2,0.006511938
2015/7/28,2015/7/28,14740.96,0.01044391,152900,14848.35,14641.57,1,14717.03,15600.08,1,2,0.007285143
2015/7/29,2015/7/29,15141.07,-0.026780906,284600,15214.64,14879.23,1,14641.57,15574.22,1,2,0.00485897
2015/8/3,2015/8/3,14714.89,0.028551013,264400,14842.68,14555.85,1,14641.57,15214.64,1,1,0.008684401
2015/8/4,2015/8/4,14601.36,0.007745231,193100,14786.19,14520.96,1,14555.85,15214.64,1,2,0.01265841
2015/8/5,2015/8/5,14716.34,-0.007843766,148100,14852.28,14656.68,1,14520.96,15214.64,1,2,0.009237351
2015/8/6,2015/8/6,14628.26,0.006003167,156400,14712.96,14589.37,1,14520.96,15066.79,1,2,0.005790162
2015/8/7,2015/8/7,14484.49,0.009876852,361200,14596.98,14288.13,1,14520.96,14986.75,1,2,0.007766238
2015/8/10,2015/8/10,14433.18,0.003548699,289100,14577.27,14324.22,1,14288.13,14852.28,1,2,0.009983247
2015/8/11,2015/8/11,14671.44,-0.016373024,345100,14746.62,14532.65,1,14288.13,14852.28,1,2,0.005124241
2015/8/12,2015/8/12,14559.41,0.007665227,459900,14856.09,14444.21,1,14288.13,14852.28,1,2,0.020377199
2015/8/13,2015/8/13,14986.54,-0.028914945,291500,15039.51,14706.04,1,14288.13,14856.09,1,2,0.003534505
2015/8/14,2015/8/14,14917.02,0.004649622,153700,14981.98,14839.55,1,14288.13,15039.51,1,2,0.004354757
2015/8/17,2015/8/17,14889.15,0.001870083,154500,14975.5,14806.41,1,14324.22,15039.51,1,2,0.005799525
2015/8/18,2015/8/18,14758.45,0.00881696,152800,14913.29,14665.51,1,14444.21,15039.51,1,2,0.010491617
2015/8/19,2015/8/19,14615.85,0.009709244,157900,14669.66,14547.16,1,14444.21,15039.51,1,2,0.00368162
2015/8/20,2015/8/20,14696.24,-0.005485122,147000,14777.43,14631.48,1,14547.16,15039.51,1,2,0.005524542
2015/8/21,2015/8/21,14829.13,-0.009001811,165500,14927.17,14670.15,1,14547.16,14981.98,1,2,0.006611312
2015/8/24,2015/8/24,14585.82,0.016543666,286900,14661.55,14214.86,1,14547.16,14975.5,1,2,0.005192029
2015/8/25,2015/8/25,14404.04,0.012541101,284400,14473.05,14225.39,1,14214.86,14927.17,1,2,0.004791017
2015/8/26,2015/8/26,14496.42,-0.006393,177400,14631.88,14386.25,1,14214.86,14927.17,1,2,0.009344376
2015/8/27,2015/8/27,14374.31,0.008459137,287700,14432.59,14267.17,1,14214.86,14927.17,1,2,0.004054455
2015/8/28,2015/8/28,14638.35,-0.018202212,271800,14739.7,14467.56,1,14214.86,14927.17,1,2,0.006923595
2015/8/31,2015/8/31,14762.17,-0.00842303,217500,14825.2,14676.88,1,14214.86,14739.7,1,2,0.004269697
2015/9/1,2015/9/1,14693.44,0.004666692,135300,14792.15,14586.07,1,14225.39,14825.2,1,2,0.006717964
2015/9/2,2015/9/2,14745.08,-0.003508332,126100,14818.01,14685.24,1,14267.17,14825.2,1,2,0.004946057
2015/9/7,2015/9/7,14741.16,0.000265887,79800,14825,14713.7,1,14267.17,14825.2,1,2,0.005687476
2015/9/8,2015/9/8,14651.68,0.006088576,184900,14753.74,14543.18,1,14467.56,14825.2,1,2,0.006965754
2015/9/9,2015/9/9,14825.63,-0.011802435,285900,15003.27,14708.85,1,14543.18,14825.2,1,2,0.011981953
2015/9/10,2015/9/10,14827.71,-0.000140288,148000,14963.43,14815.19,1,14543.18,15003.27,1,2,0.009153133
2015/9/11,2015/9/11,14855.16,-0.001849552,173800,14940.73,14835.3,1,14543.18,15003.27,1,2,0.005760288
2015/9/14,2015/9/14,14837.14,0.001213783,166000,14855.32,14692.6,1,14543.18,15003.27,1,2,0.001225304
2015/9/15,2015/9/15,14482.61,0.024184877,260700,14610.77,14375.12,1,14543.18,15003.27,1,2,0.008849234
2015/9/16,2015/9/16,14422.51,0.004158439,232000,14460.96,14305.32,1,14375.12,15003.27,1,2,0.002665971
2015/9/17,2015/9/17,14487.64,-0.004505692,199200,14518.12,14372.34,1,14305.32,14963.43,1,2,0.002103862
2015/9/18,2015/9/18,14339.06,0.01030859,190700,14369.62,14288.74,1,14305.32,14940.73,1,2,0.002131242
2015/9/21,2015/9/21,13945.08,0.027860524,533700,14185.34,13638.92,1,14288.74,14855.32,1,2,0.017229016
2015/9/22,2015/9/22,13638.89,0.022201487,427600,13727.03,13465.6,1,13638.92,14610.77,1,2,0.006462403
2015/9/23,2015/9/23,13418.93,0.016258874,466000,13611.54,13344.8,1,13465.6,14518.12,1,2,0.014353603
2015/10/23,2015/10/23,14103.36,-0.008590785,580700,14245.76,13960.93,0.5,13831.35,14573.33,1,1,0.010096885
2015/10/26,2015/10/26,14102.78,4.11E-05,443400,14203.25,14060.96,1,13831.35,14429.68,1,2,0.007124127
2015/10/27,2015/10/27,14106.34,-0.000252401,410300,14244.15,14069.89,1,13831.35,14338.74,1,2,0.009769366
2015/10/28,2015/10/28,14145.24,-0.00275383,305700,14184.97,14067.91,1,13831.35,14338.74,1,2,0.002808719
2015/10/29,2015/10/29,14140.54,0.000332322,360700,14198.4,13974.28,1,13831.35,14245.76,1,2,0.004091782
2015/10/30,2015/10/30,13935.97,0.014572582,516800,14055.34,13731.26,1,13960.93,14245.76,1,2,0.008565604
2015/11/2,2015/11/2,13718.54,0.015725065,305000,13808.95,13676.34,1,13731.26,14244.15,1,2,0.006590351
2015/11/3,2015/11/3,13717.85,5.03E-05,245300,13821.21,13679.9,1,13676.34,14244.15,1,2,0.007534708
2015/11/4,2015/11/4,13676.66,0.003007174,360500,13808.47,13578.53,1,13676.34,14198.4,1,2,0.009637587
2015/11/5,2015/11/5,13609.63,0.0049131,413000,13873.36,13534.25,1,13578.53,14198.4,1,2,0.01937819
2015/11/6,2015/11/6,13512.32,0.007175769,442300,13603.97,13420.1,1,13534.25,14055.34,1,2,0.006782699
2015/11/9,2015/11/9,13511.22,8.14E-05,376500,13601.49,13491,0.5,13420.1,13873.36,1,2,0.006681114
2015/11/12,2015/11/12,13000.95,0.00169229,860600,13125.23,12754.58,0.5,12783.19,13873.36,1,1,0.009559301
2015/11/13,2015/11/13,13009.28,-0.000640517,964900,13123.5,12799.23,1,12754.58,13603.97,1,2,0.008779886
2015/11/16,2015/11/16,13024.49,-0.001168482,541100,13094.64,12879.11,1,12754.58,13601.49,1,2,0.005386007
2015/11/17,2015/11/17,12830.53,0.015003944,963900,12960.62,12509.9,1,12754.58,13567.36,1,2,0.010139098
2015/11/18,2015/11/18,12564.42,0.020958477,920700,12776.13,12307.88,0.5,12509.9,13220.39,1,2,0.016849962
2015/11/30,2015/11/30,12721.22,0.043001986,1225700,12897.22,12698.69,0.5,11959.94,13446.93,1,1,0.013835151
2015/12/1,2015/12/1,12746.09,-0.001953093,1069500,12915.16,12671.61,1,12143.66,13446.93,1,2,0.01326446
2015/12/2,2015/12/2,12871.19,-0.009766923,1017000,12904.72,12561.96,1,12630.55,13446.93,1,2,0.002605043
2015/12/3,2015/12/3,12599.86,0.021305778,1029800,12684.99,12446.34,1,12561.96,13446.93,1,2,0.006756424
2015/12/4,2015/12/4,12533.11,0.00531176,949200,12632.79,12435.35,1,12446.34,13316.46,1,2,0.007953333
2015/12/7,2015/12/7,12609.64,-0.006087658,816800,12833.01,12584.96,1,12435.35,12915.16,1,2,0.017714225
2015/12/8,2015/12/8,12584.44,0.002000471,798800,12802.34,12507.18,1,12435.35,12915.16,1,2,0.017315033
2015/12/9,2015/12/9,12595.52,-0.000880065,744700,12660.28,12434.44,1,12435.35,12904.72,1,2,0.005141511
2015/12/10,2015/12/10,12648.59,-0.004204551,707500,12773.11,12554.72,1,12434.44,12833.01,1,2,0.009844576
2016/1/8,2016/1/8,12885.39,0.015776623,748300,12961.99,12675.19,0.5,12842.74,13490.74,1,1,0.005944717
2016/1/11,2016/1/11,12870.93,0.001122831,530900,12921.08,12766.07,1,12675.19,13435.82,1,2,0.003896377
2016/1/12,2016/1/12,12656.15,0.016828017,698600,12857.79,12346.89,1,12675.19,13332.69,1,2,0.015932175
2016/1/13,2016/1/13,12456.37,0.015911124,585500,12533.4,12380.96,1,12346.89,13290.12,1,2,0.006183985
2016/1/14,2016/1/14,12517.11,-0.00486437,599100,12665.92,12443,1,12346.89,13111.13,1,2,0.011888527
2016/1/15,2016/1/15,12776.69,-0.020525909,714800,12804.23,12519.84,1,12346.89,12961.99,1,2,0.002155488
2016/1/18,2016/1/18,12569.11,0.0163802,613900,12768.13,12485.56,1,12346.89,12921.08,1,2,0.015834057
2016/1/19,2016/1/19,12693.09,-0.009815534,596800,12879.1,12646.69,1,12346.89,12857.79,1,2,0.01465443
2016/1/20,2016/1/20,12800.07,-0.008392889,492200,12873.84,12674.98,0.5,12380.96,12879.1,1,2,0.00576325
